Remote_Ratio,SundialPasha-CXL,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,790113.0,794908.0,756742.0,796335.0,757660.0
10,663221.0,328291.0,265000.0,226336.0,194520.0
20,625383.0,230181.0,179497.0,143973.0,119276.0
30,594646.0,182526.0,141198.0,105896.0,88219.0
40,569628.0,153631.0,117402.0,86562.4,68735.3
50,547142.0,133349.0,101205.0,71188.5,57103.1
60,526493.0,119183.0,89753.5,60281.8,48805.2
70,511594.0,107784.0,80825.2,52701.4,42318.5
80,497728.0,99133.3,73621.3,48024.5,37829.7
90,482979.0,91436.4,68264.0,43567.7,33436.0
100,473225.0,85304.1,63355.4,38971.1,31013.2
